Episode: 294, Total Reward: 97.3, Max Tile: 32, Steps: 50, Epsilon: 0.745
Episode: 295, Total Reward: 396.6, Max Tile: 128, Steps: 157, Epsilon: 0.744
Episode: 296, Total Reward: 371.4, Max Tile: 128, Steps: 156, Epsilon: 0.744
Episode: 297, Total Reward: 191.8, Max Tile: 64, Steps: 82, Epsilon: 0.743
Episode: 298, Total Reward: 365.4, Max Tile: 128, Steps: 149, Epsilon: 0.742
Episode: 299, Total Reward: 362.0, Max Tile: 128, Steps: 155, Epsilon: 0.741
Episode: 300, Total Reward: 301.3, Max Tile: 128, Steps: 127, Epsilon: 0.741
Episode: 301, Total Reward: 351.0, Max Tile: 128, Steps: 145, Epsilon: 0.740
Episode: 302, Total Reward: 531.7, Max Tile: 256, Steps: 203, Epsilon: 0.739
Episode: 303, Total Reward: 356.2, Max Tile: 128, Steps: 146, Epsilon: 0.738
Episode: 304, Total Reward: 225.1, Max Tile: 64, Steps: 97, Epsilon: 0.738
Episode: 305, Total Reward: 215.3, Max Tile: 64, Steps: 95, Epsilon: 0.737
Episode: 306, Total Reward: 332.3, Max Tile: 128, Steps: 141, Epsilon: 0.736
Episode: 307, Total Reward: 286.4, Max Tile: 128, Steps: 120, Epsilon: 0.736
Episode: 308, Total Reward: 119.5, Max Tile: 32, Steps: 57, Epsilon: 0.735
Episode: 309, Total Reward: 328.3, Max Tile: 128, Steps: 138, Epsilon: 0.734
Episode: 310, Total Reward: 365.8, Max Tile: 128, Steps: 149, Epsilon: 0.733
